video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,comment_count,comments_disabled
"6NL2k3mOi1I","TRENDY TOYS in LEGO...","2024-02-16T16:59:48Z","UCUU3GdGuQshZFRGnxAPBf_w","TD BRICKS","24","24.18.02","lego|lego set|lego sets|lego minifig|lego minifigure|lego builder|lego masters|lego movie|lego nerf gun|lego rubix cube|lego barbie|lego RC car|lego finger board|lego tech deck|lego bey blades|lego kinder egg|lego tonka truck|lego yoyo|lego uno reverse card|lego uno card|lego hula hoop|lego fidget|lego fidget spinner|lego stop motion|lego build|lego moc|lego creation|lego challenge|lego meme|lego funny","1822055","3068","False"
"pv3Ss8o9gGQ","Marvel Animation's X-Men '97 | Official Trailer | Disney+","2024-02-15T14:00:10Z","UCvC4D8onUfXzvjTOM-dBfEA","Marvel Entertainment","24","24.18.02","marvel|comics","7750098","24872","False"
"c2J0HD2oYNI","The FULL 2024 NBA #Starry3PT Contest 🎯 | 2024 #NBAAllStar","2024-02-18T03:03:26Z","UCWJ2lWNubArHWmf3FIHbfcQ","NBA","17","24.18.02","Basketball|G League|NBA","1708023","1286","False"
"UcsSdIXHCWM","Drake ft. Sexyy Red & SZA - Rich Baby Daddy (Official Music Video)","2024-02-14T23:00:27Z","UCQznUf1SjfDqx65hX3zRDiA","DrakeVEVO","10","24.18.02","Drake|Rich|Baby|Daddy|OVO/Republic|Hip|Hop","6417288","17948","False"
"UOf6CMbHPuA","Billy Joel - Turn the Lights Back On (Official Video)","2024-02-16T13:30:12Z","UCELh-8oY4E5UBgapPGl5cAg","billyjoelVEVO","10","24.18.02","New York|New York Icons|Madison Square Garden|Billy Joel MSG|Billy Joel Live|Billy Joel through the years|Piano man|The Piano Man|Turn The Lights Back On|TTLBO|Billy Joel New Song|Billy Joel First Song in Decades|Billy Joel|Turn the Lights Back On","706631","2617","False"
"A_ugwjjwOUE","I Survived 100 Days as DIAMOND TITAN in HARDCORE Minecraft!","2024-02-16T21:00:10Z","UCYPYEhWUvvKFgmgkLACagXA","MaxCraft","20","24.18.02","[none]","798295","454","False"
"JAiomwAQRM4","Fake Mechanic Swaps Cars With Counterfeit Model | GTA 5 RP","2024-02-16T15:15:01Z","UCk9xNdmgY8im4RDCops9YYw","Treyten","20","24.18.02","gta 5|gta rp|roleplay|fake mechanic|stealing cars|grand theft auto|gta 5 mods|real life mod|swapping cars|gtf 5|Treyten|RedlineRP","431952","386","False"
"np2YF_77utU","NRL Pre-Season 2024 | Bulldogs v Storm | Match Highlights","2024-02-15T10:05:12Z","UC33-OkQ6VCYk8xtml8Pk4-g","NRL - National Rugby League","17","24.18.02","NRL|National Rugby League|Games|Matches|Highlights|Rugby|Telstra Premiership|Fox Sports|State of Origin|Nine|NRL Highlights|NRL Game Highlights|Rugby League Highlights|Rugby League|NRL Full Match|NRL Live|Watch NRL|NRL Match Highlights|Rugby league highlights|NRL 2023|NRL 2023 highlights|NRL23|NRL23 highlights|NRL scores|nrl schedule|nrl draw|NRL pre-season|NRL trials","133847","140","False"
"2cU5QBPY4ds","I Have to Talk About This...","2024-02-16T19:00:31Z","UCCqEeDAUf4Mg0GgEN658tkA","Chris Stuckmann","24","24.18.02","Madame Web|Chris Stuckmann|Sony|Studios|Industry|Writers|Directors|Strikes|WGA|SAG|Spider-Man|Venom|Spiderverse|S.J. Clarkson|Dakota Johnson|Sydney Sweeney|Isabela Merced|Celeste O'Connor|Kraven the Hunter|Venom: Let There Be Carnage|Spider-Man 3|The Amazing Spider-Man|Marvel|Clip|Scene|Trailer|Teaser|Pepsi|2024","462153","6405","False"
"G6GvDjDtrPA","Polo G - Sorrys & Ferraris (Official Video)","2024-02-16T05:00:08Z","UC0ifXd2AVf1LMYbqwB5GH4g","Polo G","10","24.18.02","Polo G|PoloG|PoloCapalot|Polo Capalot|HoodPoet|Hood Poet|Sorrys and Ferraris|Sorrys & Ferraris","2209737","5432","False"
